"","intercept","exposure","matchvar","log_scale","param","model","settings"
"1",5.78002834600555,-0.26299638034528,-0.591360274271317,-0.967297940023355,"coef","full",1
"2",0.0984698304103695,0.0219361475261936,0.0583782392554954,0.0445204265027758,"se","full",1
"3",NA,0.699222522736407,NA,NA,"coef","conditional",1
"4",NA,0.0701419382153844,NA,NA,"se","conditional",1
"5",5.80701835073033,-0.272453784476069,-0.60181762801099,-0.957430385755636,"coef","weighted",1
"6",0.0980469334951257,0.0232206963630012,0.0581751782287043,0.0419827345104748,"se","weighted",1
"7",NA,0.691184682226458,1.55491648259079,NA,"coef","coxfull",1
"8",NA,0.0492611530762311,0.137295347708885,NA,"se","coxfull",1
"9",NA,0.71010600597669,1.56566941442927,NA,"coef","coxweighted",1
"10",NA,0.0722772054673093,0.187986564021757,NA,"se","coxweighted",1
"11",5.14823545402133,-0.374636213354155,-0.81459928649821,-0.594241986723058,"coef","full",2
"12",0.0254965391321621,0.00936581734944039,0.02283107213318,0.0131891034583797,"se","full",2
"13",NA,0.671143304248262,NA,NA,"coef","conditional",2
"14",NA,0.0213419993035666,NA,NA,"se","conditional",2
"15",5.14475569664712,-0.372838224975345,-0.811696891492693,-0.592174883211205,"coef","weighted",2
"16",0.0245398828961466,0.00874901550301982,0.0216980656968383,0.0130863081434408,"se","weighted",2
"17",NA,0.678704962561204,1.47563849216737,NA,"coef","coxfull",2
"18",NA,0.0154473069262394,0.0375724811347006,NA,"se","coxfull",2
"19",NA,0.67414858167531,1.4674772742983,NA,"coef","coxweighted",2
"20",NA,0.0174717722447775,0.0470133821474564,NA,"se","coxweighted",2
